[Header]	
System	TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	4/3/2024 3:41:34 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/High Suspension Kit (High Conc.)	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:01:32 PM	9	3	NPOC	320.6	25.00	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:10:13 PM	10	1	NPOC	625.5	50.00	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:15:29 PM	10	2	NPOC	620.7	50.00	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:20:39 PM	10	3	NPOC	620.1	50.00	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:27:27 PM	11	1	NPOC	9.082	100.0	 	1	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:31:20 PM	11	2	NPOC	10.24	100.0	 	1	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:34:50 PM	11	3	NPOC	9.651	100.0	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:38:31 PM	11	4	NPOC	9.596	100.0	 	0	150	
Standard	NPOC	CalCurve_0-100ppmC	Untitled	C:\TOC-L\CalCurves\20241103_0-50ppmC_CO_40mL.2024_03_11_13_38_30.cal		1.00		3/11/2024 5:42:03 PM	11	5	NPOC	9.761	100.0	 	0	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 5:48:52 PM	1	1	NPOC	1.437	0.1146	NPOC:0.1191mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank1	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 5:52:27 PM	1	2	NPOC	1.214	0.09679	NPOC:0.1191mg/L TN:0.000mg/L	1	150	
