ID,O2_%,Cond,rundate,units,Salinity (g/L),Treatment,Wash,Fraction,Group
AW5.45.C,21.56,0.02873,20-Mar-24,mS,0.009813618,AW,5,0.45,AW 0.45
AW5.DI,23.29,0.1685,20-Mar-24,mS,0.06722751,AW,5,Blank,AW Blank
OW1.DI,102,0.3722,20-Mar-24,mS,0.159199677,OW,1,Blank,OW Blank
OW2.01.A,102.6,5.121,20-Mar-24,mS,2.757323824,OW,2,0.1,OW 0.1
OW2.01.B,100.8,4.176,20-Mar-24,mS,2.208589022,OW,2,0.1,OW 0.1
OW2.01.C,101.7,5.103,20-Mar-24,mS,2.746782687,OW,2,0.1,OW 0.1
OW2.1.A,99.56,5.104,20-Mar-24,mS,2.74736822,OW,2,1,OW 1
OW2.1.B,100.2,4.649,20-Mar-24,mS,2.48202049,OW,2,1,OW 1
OW2.1.C,97.72,5.107,20-Mar-24,mS,2.74912488,OW,2,1,OW 1
OW2.45.A,101.8,4.846,20-Mar-24,mS,2.596639871,OW,2,0.45,OW 0.45
OW2.45.B,101,4.828,20-Mar-24,mS,2.586149787,OW,2,0.45,OW 0.45
OW2.45.C,99.97,4.979,20-Mar-24,mS,2.674255225,OW,2,0.45,OW 0.45
OW2.DI,102.7,0.02144,20-Mar-24,mS,0.007137695,OW,2,Blank,OW Blank
OW3.01.B,91.23,0.4894,20-Mar-24,mS,0.214421391,OW,3,0.1,OW 0.1
OW3.01.C,95.53,0.7562,20-Mar-24,mS,0.344217242,OW,3,0.1,OW 0.1
OW3.1.A,95.62,0.6874,20-Mar-24,mS,0.310290281,OW,3,1,OW 1
OW3.1.B,92.5,0.6704,20-Mar-24,mS,0.301951909,OW,3,1,OW 1
OW3.1.C,95.95,0.7041,20-Mar-24,mS,0.318499157,OW,3,1,OW 1
OW3.45.A,92.33,0.5985,20-Mar-24,mS,0.266895982,OW,3,0.45,OW 0.45
OW3.45.B,92.62,0.6597,20-Mar-24,mS,0.296713122,OW,3,0.45,OW 0.45
OW3.45.C,95.62,0.6568,20-Mar-24,mS,0.295294544,OW,3,0.45,OW 0.45
OW3.DI,97.72,0.00209,20-Mar-24,mS,5.67E-04,OW,3,Blank,OW Blank
OW4.01.B,78.97,0.08088,20-Mar-24,mS,0.030255285,OW,4,0.1,OW 0.1
OW4.01.C,76.66,0.1185,20-Mar-24,mS,0.045839774,OW,4,0.1,OW 0.1
OW4.1.A,85.04,0.09024,20-Mar-24,mS,0.034082761,OW,4,1,OW 1
OW4.1.B,90.89,0.08962,20-Mar-24,mS,0.033828111,OW,4,1,OW 1
OW4.1.C,97.47,0.08913,20-Mar-24,mS,0.033626964,OW,4,1,OW 1
OW4.45.A,85.6,0.07872,20-Mar-24,mS,0.029377376,OW,4,0.45,OW 0.45
OW4.45.B,79.81,0.08457,20-Mar-24,mS,0.031759786,OW,4,0.45,OW 0.45
OW4.45.C,73.64,0.08349,20-Mar-24,mS,0.031318836,OW,4,0.45,OW 0.45
OW4.DI,95.32,0.0024,20-Mar-24,mS,6.59E-04,OW,4,Blank,OW Blank
OW5.01.B,97.41,0.02849,20-Mar-24,mS,0.009724473,OW,5,0.1,OW 0.1
OW5.01.C,93.08,0.03754,20-Mar-24,mS,0.013127636,OW,5,0.1,OW 0.1
OW5.1.A,80.29,0.02518,20-Mar-24,mS,0.00850198,OW,5,1,OW 1
OW5.1.B,85.17,0.02494,20-Mar-24,mS,0.008413866,OW,5,1,OW 1
OW5.1.C,85.43,0.02568,20-Mar-24,mS,0.008685786,OW,5,1,OW 1
OW5.45.A,89.94,0.02586,20-Mar-24,mS,0.008752033,OW,5,0.45,OW 0.45
OW5.45.B,83.19,0.02625,20-Mar-24,mS,0.008895708,OW,5,0.45,OW 0.45
OW5.45.C,89.74,0.02583,20-Mar-24,mS,0.008740989,OW,5,0.45,OW 0.45
OW5.DI,101.1,0.00442,20-Mar-24,mS,0.001280979,OW,5,Blank,OW Blank
OW1.1.A,101,35.86,20-Mar-24,mS,22.90639346,OW,1,1,OW 1
OW1.1.B,100.5,35.49,20-Mar-24,mS,22.64941317,OW,1,1,OW 1
OW1.1.C,99.34,35.32,20-Mar-24,mS,22.53141984,OW,1,1,OW 1
OW1.45.A,102,36.38,20-Mar-24,mS,23.26794815,OW,1,0.45,OW 0.45
OW1.45.B,99.17,35.8,20-Mar-24,mS,22.8647051,OW,1,0.45,OW 0.45
OW1.45.C,99.43,35.86,20-Mar-24,mS,22.90639346,OW,1,0.45,OW 0.45
OW1.01.A,100,35.5,20-Mar-24,mS,22.6563555,OW,1,0.1,OW 0.1
OW1.01.B,101.3,35.95,20-Mar-24,mS,22.96893749,OW,1,0.1,OW 0.1
OW1.01.C,101.5,36.16,20-Mar-24,mS,23.11492695,OW,1,0.1,OW 0.1
OW1.ASW,102.3,48.86,20-Mar-24,mS,32.06972418,OW,1,Blank,OW Blank
AW1.1.A,31.27,36.24,20-Mar-24,mS,23.17056159,AW,1,1,AW 1
AW1.1.B,31.21,35.47,20-Mar-24,mS,22.63552902,AW,1,1,AW 1
AW1.1.C,31.28,35.58,20-Mar-24,mS,22.71190033,AW,1,1,AW 1
AW1.45.A,31.89,35.45,20-Mar-24,mS,22.62164556,AW,1,0.45,AW 0.45
AW1.45.B,31.64,35.76,20-Mar-24,mS,22.83691627,AW,1,0.45,AW 0.45
AW1.45.C,31.71,35.38,20-Mar-24,mS,22.57305886,AW,1,0.45,AW 0.45
AW1.01.A,31.27,36.31,20-Mar-24,mS,23.21925075,AW,1,0.1,AW 0.1
AW1.01.C,31.32,36.02,20-Mar-24,mS,23.01759234,AW,1,0.1,AW 0.1
AW1.ASW,32.8,49.3,20-Mar-24,mS,32.38400269,AW,1,Blank,AW Blank
OW2.ASW,100.8,49.53,20-Mar-24,mS,32.54838281,OW,2,Blank,OW Blank
AW2.ASW,26.35,10.57,20-Mar-24,mS,6.065134264,AW,2,Blank,AW Blank
OW3.ASW,91.21,40.5,20-Mar-24,mS,26.14816533,OW,3,Blank,OW Blank
AW3.ASW,18.61,32.51,20-Mar-24,mS,20.58845263,AW,3,Blank,AW Blank
OW4.ASW,82.65,43.86,20-Mar-24,mS,28.51634767,OW,4,Blank,OW Blank
AW4.ASW,16.94,27.39,20-Mar-24,mS,17.08693868,AW,4,Blank,AW Blank
OW5.ASW,91.04,41.86,20-Mar-24,mS,27.10471493,OW,5,Blank,OW Blank
AW5.ASW,22.95,37.21,20-Mar-24,mS,23.84598339,AW,5,Blank,AW Blank
