sample_name,ferrozine_id,date,Fe2_ppm,Fe2_mg,Fe2_mg/g,FeTotal_ppm,FeTotal_mg,FeTotal_mg/g,Fe3_ppm,Fe3_mg/g,Treatment,Wash,Fraction,Group,,,,,,,,,
AW3.01.C,_026,3/8/2024,0.98,1.088888889,0.216233868,4.17,4.633333333,0.920097173,3.19,0.703863305,AW,3,0.1,AW 0.1,,,,,,,,,
OW4.DI,_027,3/8/2024,0.03,0.033333333,0.033333333,0.08,0.088888889,0.088888889,0.05,0.055555556,OW,4,Blank,OW Blank,,,,,,,,,
OW3.1.B,_028,3/8/2024,2.58,2.866666667,0.571698276,39.26,43.62222222,8.699563692,36.68,8.127865416,OW,3,1,OW 1,,,,,,,,,
OW3.1.C,_029,3/8/2024,3.77,4.188888889,0.831343182,34.91,38.78888889,7.698193758,31.14,6.866850577,OW,3,1,OW 1,,,,,,,,,
OW3.45.A,_030,3/8/2024,2.7,3,0.595521677,20.4,22.66666667,4.499497115,17.7,3.903975438,OW,3,0.45,OW 0.45,,,,,,,,,
OW3.45.B,_031,3/8/2024,2.07,2.3,0.453505797,20.58,22.86666667,4.508767779,18.52,4.055261982,OW,3,0.45,OW 0.45,,,,,,,,,
OW3.45.C,_032,3/8/2024,2.03,2.255555556,0.443727486,23.05,25.61111111,5.03838352,21.02,4.594656035,OW,3,0.45,OW 0.45,,,,,,,,,
OW3.01.B,_033,3/8/2024,1.36,1.511111111,0.299342547,4.79,5.322222222,1.054302059,3.43,0.754959512,OW,3,0.1,OW 0.1,,,,,,,,,
OW3.01.C,_034,3/8/2024,1.16,1.288888889,0.257319749,3.01,3.344444444,0.667700382,1.85,0.410380634,OW,3,0.1,OW 0.1,,,,,,,,,
AW3.DI,_035,3/8/2024,0.28,0.311111111,0.311111111,0.35,0.388888889,0.388888889,0.07,0.077777778,AW,3,Blank,AW Blank,,,,,,,,,
AW3.ASW,_036,3/8/2024,0.2,0.222222222,0.222222222,0.27,0.3,0.3,0.07,0.077777778,AW,3,Blank,AW Blank,,,,,,,,,
AW2.1.C,_037,3/8/2024,0.81,0.9,0.178770062,1.75,1.944444444,0.386231615,0.94,0.207461553,AW,2,1,AW 1,,,,,,,,,
AW2.45.A,_038,3/8/2024,0.58,0.644444444,0.127109358,1.28,1.422222222,0.280517204,0.7,0.153407846,AW,2,0.45,AW 0.45,,,,,,,,,
AW2.45.B,_039,3/8/2024,0.88,0.977777778,0.195309466,1.15,1.277777778,0.255233961,0.27,0.059924495,AW,2,0.45,AW 0.45,,,,,,,,,
AW2.45.C,_040,3/8/2024,0.52,0.577777778,0.115456263,1.13,1.255555556,0.250895341,0.61,0.135439078,AW,2,0.45,AW 0.45,,,,,,,,,
AW2.01.A,_041,3/8/2024,0.7,0.777777778,0.153638151,0.96,1.066666667,0.210703751,0.26,0.057065599,AW,2,0.1,AW 0.1,,,,,,,,,
AW2.01.C,_042,3/8/2024,0.22,0.244444444,0.048542297,0.33,0.366666667,0.072813445,0.11,0.024271148,AW,2,0.1,AW 0.1,,,,,,,,,
OW3.DI,_043,3/8/2024,0.08,0.088888889,0.088888889,0.13,0.144444444,0.144444444,0.05,0.055555556,OW,3,Blank,OW Blank,,,,,,,,,
OW3.ASW,_044,3/8/2024,0.06,0.066666667,0.066666667,0.05,0.055555556,0.055555556,-0.02,-0.011111111,OW,3,Blank,OW Blank,,,,,,,,,
OW3.1.A,_045,3/8/2024,4.96,5.511111111,1.100263753,34.75,38.61111111,7.70850109,29.8,6.608237338,OW,3,1,OW 1,,,,,,,,,
OW2.45.B,_046,3/8/2024,0.6,0.666666667,0.131450956,1.02,1.133333333,0.223466625,0.42,0.092015669,OW,2,0.45,OW 0.45,,,,,,,,,
OW2.45.C,_047,3/8/2024,0.7,0.777777778,0.153009478,1.28,1.422222222,0.279788759,0.58,0.126779282,OW,2,0.45,OW 0.45,,,,,,,,,
OW2.01.A,_048,3/8/2024,0.27,0.3,0.059467174,0.31,0.344444444,0.068277126,0.04,0.008809952,OW,2,0.1,OW 0.1,,,,,,,,,
OW2.01.B,_049,3/8/2024,0.43,0.477777778,0.09464507,0.59,0.655555556,0.12986184,0.16,0.03521677,OW,2,0.1,OW 0.1,,,,,,,,,
OW2.01.C,_050,3/8/2024,0.4,0.444444444,0.088730948,0.55,0.611111111,0.122005053,0.15,0.033274105,OW,2,0.1,OW 0.1,,,,,,,,,
AW2.DI,_051,3/8/2024,0.47,0.522222222,0.522222222,0.29,0.322222222,0.322222222,-0.18,-0.2,AW,2,Blank,AW Blank,,,,,,,,,
AW2.ASW,_052,3/8/2024,0.22,0.244444444,0.244444444,0.42,0.466666667,0.466666667,0.2,0.222222222,AW,2,Blank,AW Blank,,,,,,,,,
AW2.1.A,_053,3/8/2024,1.48,1.644444444,0.32448882,1.82,2.022222222,0.39903355,0.34,0.074544729,AW,2,1,AW 1,,,,,,,,,
AW2.1.B,_054,3/8/2024,0.9,1,0.19916748,1.92,2.133333333,0.424890624,1.02,0.225723144,AW,2,1,AW 1,,,,,,,,,
AW1.45.C,_055,3/8/2024,0.44,0.488888889,0.097693761,0.91,1.011111111,0.202048461,0.47,0.104354699,AW,1,0.45,AW 0.45,,,,,,,,,
AW1.01.A,_056,3/8/2024,0.05,0.055555556,0.010974154,0.13,0.144444444,0.0285328,0.08,0.017558646,AW,1,0.1,AW 0.1,,,,,,,,,
AW1.01.C,_057,3/8/2024,0.22,0.244444444,0.048542297,0.29,0.322222222,0.063987573,0.07,0.015445276,AW,1,0.1,AW 0.1,,,,,,,,,
OW2.DI,_058,3/8/2024,0.22,0.244444444,0.244444444,0.33,0.366666667,0.366666667,0.11,0.122222222,OW,2,Blank,OW Blank,,,,,,,,,
OW2.ASW,_059,3/8/2024,0.26,0.288888889,0.288888889,0.31,0.344444444,0.344444444,0.05,0.055555556,OW,2,Blank,OW Blank,,,,,,,,,
OW2.1.A,_060,3/8/2024,0.71,0.788888889,0.157497432,2.06,2.288888889,0.456964381,1.36,0.299466949,OW,2,1,OW 1,,,,,,,,,
OW2.1.B,_061,3/8/2024,0.76,0.844444444,0.168407244,2.1,2.333333333,0.465335806,1.35,0.296928562,OW,2,1,OW 1,,,,,,,,,
OW2.1.C,_062,3/8/2024,0.73,0.811111111,0.160976266,2.51,2.788888889,0.553493736,1.79,0.39251747,OW,2,1,OW 1,,,,,,,,,
OW2.45.A,_063,3/8/2024,0.44,0.488888889,0.097047977,1.35,1.5,0.297760838,0.92,0.200712862,OW,2,0.45,OW 0.45,,,,,,,,,
OW1.01.B,_064,3/8/2024,0.06,0.066666667,0.013206289,0.4,0.444444444,0.088041926,0.34,0.074835637,OW,1,0.1,OW 0.1,,,,,,,,,
OW1.01.C,_065,3/8/2024,0.01,0.011111111,0.002218274,34.27,38.07777778,7.602023953,34.26,7.599805679,OW,1,0.1,OW 0.1,,,,,,,,,
AW1.1.A,_068,3/8/2024,0.35,0.388888889,0.076737221,1.37,1.522222222,0.300371408,1.03,0.223634187,AW,1,1,AW 1,,,,,,,,,
AW1.1.B,_069,3/8/2024,0.47,0.522222222,0.104009684,1.26,1.4,0.278834472,0.79,0.174824788,AW,1,1,AW 1,,,,,,,,,
AW1.1.C,_070,3/8/2024,0.33,0.366666667,0.072832247,1.26,1.4,0.278086763,0.93,0.205254516,AW,1,1,AW 1,,,,,,,,,
AW1.45.A,_071,3/8/2024,0.31,0.344444444,0.06793776,0.66,0.733333333,0.144641683,0.34,0.076703923,AW,1,0.45,AW 0.45,,,,,,,,,
AW1.45.B,_072,3/8/2024,0.31,0.344444444,0.068802198,1,1.111111111,0.221942575,0.69,0.153140376,AW,1,0.45,AW 0.45,,,,,,,,,
OW1.1.A,_075,3/8/2024,0.33,0.366666667,0.073203032,1.32,1.466666667,0.292812128,0.98,0.219609096,OW,1,1,OW 1,,,,,,,,,
OW1.1.B,_076,3/8/2024,0.35,0.388888889,0.077555968,1.48,1.644444444,0.327950949,1.14,0.250394981,OW,1,1,OW 1,,,,,,,,,
OW1.1.C,_077,3/8/2024,0.28,0.311111111,0.061744321,1.34,1.488888889,0.29549068,1.06,0.233746359,OW,1,1,OW 1,,,,,,,,,
OW1.45.A,_078,3/8/2024,0.47,0.522222222,0.103664885,0.91,1.011111111,0.200712862,0.44,0.097047977,OW,1,0.45,OW 0.45,,,,,,,,,
OW1.45.B,_079,3/8/2024,0.29,0.322222222,0.063534629,0.95,1.055555556,0.20813068,0.65,0.144596051,OW,1,0.45,OW 0.45,,,,,,,,,
OW1.45.C,_080,3/8/2024,0.29,0.322222222,0.063389641,1,1.111111111,0.218584968,0.71,0.155195328,OW,1,0.45,OW 0.45,,,,,,,,,
OW1.01.A,_081,3/8/2024,0.06,0.066666667,0.013214928,0.06,0.066666667,0.013214928,0,0,OW,1,0.1,OW 0.1,,,,,,,,,
OW5.01.B,_082,3/8/2024,0.38,0.422222222,0.083639829,7.34,8.155555556,1.615569334,6.96,1.531929505,OW,5,0.1,OW 0.1,,,,,,,,,
OW5.45.C,_083,3/8/2024,0.9,1,0.196726472,17.02,18.91111111,3.720316161,16.12,3.52358969,OW,5,0.45,OW 0.45,,,,,,,,,
OW5.45.B,_084,3/8/2024,0.88,0.977777778,0.192794735,12.88,14.31111111,2.821813848,12,2.629019113,OW,5,0.45,OW 0.45,,,,,,,,,
OW5.45.A,_085,3/8/2024,0.7,0.777777778,0.154394509,10.53,11.7,2.32253454,9.83,2.168140031,OW,5,0.45,OW 0.45,,,,,,,,,
OW5.1.C,_086,3/8/2024,0.84,0.933333333,0.185232964,13.61,15.12222222,3.00121504,12.76,2.815982077,OW,5,1,OW 1,,,,,,,,,
OW5.1.B,_087,3/8/2024,0.98,1.088888889,0.21715671,13.12,14.57777778,2.907240847,12.14,2.690084137,OW,5,1,OW 1,,,,,,,,,
OW5.1.A,_088,3/8/2024,0.83,0.922222222,0.184116717,14.28,15.86666667,3.167694837,13.45,2.98357812,OW,5,1,OW 1,,,,,,,,,
OW5.DI,_090,3/8/2024,NA,NA,NA,0.06,0.066666667,NA,NA,NA,OW,5,Blank,OW Blank,,,,,,,,,
AW5.45.C,_091,3/8/2024,0.72,0.8,0.159862518,11.52,12.8,2.557800292,10.8,2.397937774,AW,5,0.45,AW 0.45,,,,,,,,,
AW5.45.B,_092,3/8/2024,0.9,1,0.199748317,11.24,12.48888889,2.494634538,10.34,2.294886221,AW,5,0.45,AW 0.45,,,,,,,,,
AW5.45.A,_093,3/8/2024,0.7,0.777777778,0.153407846,10.72,11.91111111,2.34933158,10.01,2.195923734,AW,5,0.45,AW 0.45,,,,,,,,,
AW5.1.C,_094,3/8/2024,0.92,1.022222222,0.203047478,12.25,13.61111111,2.703621308,11.33,2.50057383,AW,5,1,AW 1,,,,,,,,,
AW5.1.B,_095,3/8/2024,1.07,1.188888889,0.236788004,14.3,15.88888889,3.164549959,13.22,2.927761955,AW,5,1,AW 1,,,,,,,,,
AW5.1.A,_096,3/8/2024,0.88,0.977777778,0.192939299,14.13,15.7,3.097991239,13.25,2.90505194,AW,5,1,AW 1,,,,,,,,,
AW5.ASW,_097,3/8/2024,NA,NA,NA,0.06,0.066666667,NA,NA,NA,AW,5,Blank,AW Blank,,,,,,,,,
AW5.DI,_098,3/8/2024,NA,NA,NA,0.01,0.011111111,NA,NA,NA,AW,5,Blank,AW Blank,,,,,,,,,
OW5.01.C,_099,3/8/2024,0.4,0.444444444,0.088730948,3.37,3.744444444,0.747558235,2.97,0.658827287,OW,5,0.1,OW 0.1,,,,,,,,,
AW5.01.A,_100,3/8/2024,0.49,0.544444444,0.107546706,2.86,3.177777778,0.62772159,2.38,0.520174884,AW,5,0.1,AW 0.1,,,,,,,,,
AW1.DI,_066,NA,NA,NA,NA,NA,NA,NA,NA,NA,AW,1,Blank,AW Blank,,,,,,,,,
AW1.ASW,_067,NA,NA,NA,NA,NA,NA,NA,NA,NA,AW,1,Blank,AW Blank,,,,,,,,,
OW1.DI,_073,NA,NA,NA,NA,NA,NA,NA,NA,NA,OW,1,Blank,OW Blank,,,,,,,,,
OW1.ASW,_074,NA,NA,NA,NA,NA,NA,NA,NA,NA,OW,1,Blank,OW Blank,,,,,,,,,
OW5.ASW,_089,NA,NA,NA,NA,NA,NA,NA,NA,NA,OW,5,Blank,OW Blank,,,,,,,,,
