,C,0.115,0.113,0.115,0.117,0.117,0.117,0.116,0.115,0.115,0.116,0.113,0.112,977 [Test]
,,0.076,0.077,0.077,0.077,0.078,0.077,0.08,0.077,0.078,0.08,0.076,0.076,900 [Ref]
,,0.214,0.204,0.207,0.222,0.217,0.226,0.203,0.209,0.202,0.199,0.201,0.201,Pathlength
,,0.141,0.145,0.139,0.085,0.087,0.084,0.397,0.319,0.372,0.361,0.391,0.38,562
,,0.658,0.712,0.674,0.381,0.401,0.371,1.957,1.528,1.845,1.814,1.942,1.894,Corrected [562]
,D,0.117,0.115,0.116,0.125,0.273,0.123,0.115,0.115,0.116,0.115,0.113,0.112,977 [Test]
,,0.079,0.08,0.079,0.084,0.308,0.083,0.077,0.077,0.078,0.078,0.077,0.077,900 [Ref]
,,0.209,0.196,0.203,0.227,-0.197,0.222,0.209,0.21,0.212,0.207,0.203,0.197,Pathlength
,,0.405,0.38,0.377,0.306,1.121,0.319,0.318,0.346,0.348,0.332,0.329,0.363,562
,,1.937,1.942,1.861,1.349,-5.701,1.434,1.524,1.646,1.641,1.607,1.62,1.843,Corrected [562]
,E,0.114,0.115,0.117,0.116,0.116,0.115,0.606,0.13,0.115,0.316,0.27,0.293,977 [Test]
,,0.076,0.077,0.077,0.077,0.077,0.077,0.698,0.095,0.079,0.397,0.336,0.369,900 [Ref]
,,0.212,0.208,0.217,0.216,0.213,0.207,-0.511,0.192,0.199,-0.447,-0.367,-0.422,Pathlength
,,0.164,0.165,0.165,0.148,0.141,0.148,2.473,0.655,0.592,1.583,1.484,1.577,562
,,0.774,0.792,0.761,0.683,0.661,0.714,-4.839,3.405,2.978,-3.544,-4.047,-3.741,Corrected [562]
,F,0.112,0.111,0.114,0.113,0.115,0.116,0.116,0.115,0.11,0.112,0.115,0.11,977 [Test]
,,0.077,0.079,0.076,0.076,0.078,0.08,0.078,0.078,0.075,0.075,0.078,0.075,900 [Ref]
,,0.194,0.178,0.211,0.204,0.204,0.202,0.207,0.208,0.194,0.206,0.207,0.194,Pathlength
,,0.794,0.714,0.645,0.499,0.446,0.509,0.473,0.452,0.414,0.452,0.447,0.441,562
,,4.084,4.017,3.054,2.446,2.181,2.522,2.29,2.176,2.13,2.199,2.163,2.266,Corrected [562]
,G,0.113,0.116,0.115,0.113,0.115,0.116,0.119,0.118,0.114,0.239,0.129,0.116,977 [Test]
,,0.075,0.078,0.074,0.075,0.077,0.077,0.077,0.077,0.075,0.274,0.086,0.079,900 [Ref]
,,0.215,0.209,0.227,0.212,0.209,0.218,0.228,0.228,0.216,-0.192,0.24,0.204,Pathlength
,,0.144,0.144,0.143,0.16,0.153,0.162,0.087,0.084,0.085,1.327,0.814,0.757,562
,,0.67,0.689,0.632,0.753,0.731,0.743,0.379,0.37,0.393,-6.901,3.391,3.713,Corrected [562]
,H,0.106,0.107,0.108,0.105,0.109,0.109,0.108,0.109,0.106,0.106,0.108,0.106,977 [Test]
,,0.075,0.077,0.074,0.075,0.077,0.076,0.075,0.076,0.076,0.075,0.077,0.075,900 [Ref]
,,0.172,0.164,0.188,0.172,0.18,0.183,0.186,0.184,0.169,0.173,0.176,0.171,Pathlength
,,0.082,0.08,0.079,0.08,0.08,0.079,0.08,0.079,0.08,0.079,0.079,0.08,562
,,0.474,0.486,0.419,0.465,0.443,0.433,0.428,0.43,0.472,0.458,0.45,0.471,Corrected [562]
