Short_ID,Result_TC,Result_IC_mg/L,Result_POC_mg/L,Date
25.B.2,3.751,0.3443,31,9/27/2023 21:47
25.C.2,4.091,0.374,32,9/27/2023 22:07
25.C.1,6.962,1.758,33,9/27/2023 22:24
25.A.2,4.026,0.3802,37,9/27/2023 23:39
5.A.1,5.171,1.223,38,9/28/2023 0:01
5.B.1,6.608,1.414,39,9/28/2023 0:22
5.C.1,5.01,1.231,40,9/28/2023 0:43
5.B.2,12.87,0.7838,41,9/28/2023 1:07
5.A.2,13.65,0.7576,42,9/28/2023 1:34
5.C.2,13.78,0.7994,43,9/28/2023 1:57
1.C.1,6.101,0.8303,44,9/28/2023 2:20
1.B.1,5.331,0.8741,45,9/28/2023 2:40
1.A.2,17.23,0.9646,49,9/28/2023 4:00
1.C.2,16.57,0.9254,50,9/28/2023 4:22
1.B.2,16.65,0.9439,51,9/28/2023 4:44
01.B.1,12.29,0.9318,52,9/28/2023 5:01
01.A.1,11.87,0.8502,53,9/28/2023 5:23
01.C.1,11.56,0.9285,54,9/28/2023 5:45
0.A.1,19.11,1.208,55,9/28/2023 6:07
0.C.1,17.44,0.9506,56,9/28/2023 6:28
0.B.1,18.81,1.207,57,9/28/2023 6:51
01.A.2,18.02,1.082,60,9/28/2023 7:54
01.B.2,17.92,1.072,61,9/28/2023 8:15
01.C.2,17.77,1.17,62,9/28/2023 8:37
0.B.2,18,1.106,63,9/28/2023 8:59
0.A.2,14.15,0.8798,64,9/28/2023 11:23
0.C.2,13.4,0.8728,65,9/28/2023 11:44
01.B.3,16.31,1.033,66,9/28/2023 12:06
01.A.3,16.32,1.034,67,9/28/2023 12:24
01.C.3,15.79,1.057,68,9/28/2023 12:47
0.C.3,13.05,0.8442,69,9/28/2023 13:09
0.A.3,12,0.8055,72,9/28/2023 14:09
0.B.3,12.96,0.9349,73,9/28/2023 14:31
1.A.3,24.75,1.536,74,9/28/2023 14:54
1.C.3,22.59,1.39,75,9/28/2023 15:16
1.B.3,22.75,1.405,76,9/28/2023 15:39
5.B.3,27.64,1.689,77,9/28/2023 16:01
5.A.3,27.59,1.651,78,9/28/2023 16:24
5.C.3,28.83,1.715,79,9/28/2023 16:48
25.B.3,32.45,1.925,80,9/28/2023 17:12
25.A.3,30.41,1.785,83,9/28/2023 18:22
25.C.3,30.87,1.796,84,9/28/2023 18:45
100.B.3,27.62,1.761,85,9/28/2023 19:08
100.A.3,28.2,1.866,86,9/28/2023 19:30
100.C.3,27.68,1.726,87,9/28/2023 19:52
