Treatment,Wash,Fraction,Group,sample_name,DOC_corrected,sd_doc_mg_l,Fe2_correct,sd_Fe2_ppm,Fe3_correct,sd_Fe3_ppm,FeTotal_correct_ppm,sd_FeTotal_ppm,mean_O2%,sd_O2%,mean_Cond_mS,sd_Cond_mS,mean_salinity_g/L,sd_salinity_g/L,[DOC],[Fe2]_correct,[Fe3]_correct,[Fe],OC:Fe2,OC:Fe3,OC:FeTotal
OW,3,0.45,OW 0.45,OW3.45,119.4483333,6.274076293,2.266666667,0.375810236,19.08,1.729392957,21.34333333,1.480754312,93.52333333,1.821546962,0.638333333,0.034527139,0.286301216,0.016820387,0.009944912,4.06E-05,0.000341691,0.000382223,2.45E+02,29.10498552,26.01861115
OW,3,0.1,OW 0.1,OW3.01,19.545,3.45775216,1.26,0.141421356,2.64,1.117228714,3.9,1.258650071,93.38,3.040559159,0.6228,0.188656089,0.279319317,0.091779527,0.001627258,2.26E-05,4.73E-05,6.98E-05,7.21E+01,34.41900648,23.29900385
AW,2,1,AW 1,AW2.1,4.796666667,38.67493934,1.063333333,0.363639015,0.766666667,0.37166293,1.83,0.085440037,24.15666667,1.186015739,5.371,0.736867016,2.905834918,0.432233673,0.000399356,1.90E-05,1.37E-05,3.28E-05,2.10E+01,29.08702636,12.18582047
AW,2,0.45,AW 0.45,AW2.45,0.478333333,0.080829038,0.66,0.192873015,0.526666667,0.226789183,1.186666667,0.081445278,24.39,0.227156334,4.712666667,0.16931135,2.519120438,0.09852953,3.98E-05,1.18E-05,9.43E-06,2.13E-05,3.37E+00,4.222416213,1.873993244
AW,2,0.1,AW 0.1,AW2.01,3.375,0.473761543,0.46,0.339411255,0.185,0.106066017,0.645,0.445477272,25.52,0.876812409,4.503,0.097580736,2.397374799,0.056512029,0.000280992,8.24E-06,3.31E-06,1.16E-05,3.41E+01,84.81407517,24.3264528
OW,2,1,OW 1,OW2.1,29.64,8.148914038,0.733333333,0.025166115,1.5,0.251197134,2.223333333,0.249064918,99.16,1.287478155,4.953333333,0.263564666,2.65950453,0.153708197,0.002467738,1.31E-05,2.69E-05,3.98E-05,1.88E+02,91.86553399,61.97839334
OW,2,0.45,OW 0.45,OW2.45,0.353333333,0.211660105,0.58,0.13114877,0.64,0.255342907,1.216666667,0.173877351,100.9233333,0.917405763,4.884333333,0.082476259,2.619014961,0.048126142,2.94E-05,1.04E-05,1.15E-05,2.18E-05,2.83E+00,2.566679035,1.350144041
OW,2,0.1,OW 0.1,OW2.01,3.446666667,0.227229693,0.366666667,0.085049005,0.116666667,0.066583281,0.483333333,0.151437556,101.7,0.9,4.8,0.540474791,2.570898511,0.313813485,0.000286959,6.57E-06,2.09E-06,8.66E-06,4.37E+01,137.3470427,33.15270161
AW,1,1,AW 1,AW1.1,9.053333333,10.76121431,0.383333333,0.075718778,0.916666667,0.120554275,1.296666667,0.06350853,31.25333333,0.037859389,35.76333333,0.416453279,22.83933031,0.289385149,0.000753754,6.86E-06,1.64E-05,2.32E-05,1.10E+02,45.91578361,32.45985348
AW,1,0.45,AW 0.45,AW1.45,0.978333333,0.217332311,0.353333333,0.075055535,0.5,0.17691806,0.856666667,0.176162803,31.74666667,0.128970281,35.53,0.202237484,22.6772069,0.140429627,8.15E-05,6.33E-06,8.95E-06,1.53E-05,1.29E+01,9.096688399,5.30933171
AW,1,0.1,AW 0.1,AW1.01,8.355,1.449568901,0.135,0.120208153,0.075,0.007071068,0.21,0.113137085,31.295,0.035355339,36.165,0.205060967,23.11842155,0.142594028,0.000695612,2.42E-06,1.34E-06,3.76E-06,2.88E+02,517.9078231,184.9668829
OW,1,1,OW 1,OW1.1,8.023333333,18.26407768,0.32,0.036055513,1.06,0.08,1.38,0.087177979,100.28,0.851586754,35.55666667,0.276103845,22.69574216,0.19173181,0.000667999,5.73E-06,1.90E-05,2.47E-05,1.17E+02,35.18968639,27.02971165
OW,1,0.45,OW 0.45,OW1.45,1.126666667,0.360185138,0.35,0.103923048,0.6,0.141774469,0.953333333,0.045092498,100.2,1.564257012,36.01333333,0.318956632,23.01301557,0.221759881,9.38E-05,6.27E-06,1.07E-05,1.71E-05,1.50E+01,8.729911856,5.494353695
OW,1,0.1,OW 0.1,OW1.01,8.386666667,1.089143394,0.043333333,0.028867513,11.53333333,19.68260484,11.57666667,19.65373841,100.9333333,0.814452782,35.87,0.337194306,22.91340665,0.234274839,0.000698249,7.76E-07,0.000206543,0.000207319,9.00E+02,3.380646294,3.367992453
OW,5,1,OW 1,OW5.1,48.61333333,2.965760161,0.883333333,0.083864971,12.78333333,0.655311631,13.67,0.582322934,83.63,2.895444698,0.025266667,3.78E-04,0.008533877,1.39E-04,0.004047401,1.58E-05,0.000228928,0.000244807,2.56E+02,17.67979886,16.53302803
OW,5,0.45,OW 0.45,OW5.45,89.655,7.88274064,0.826666667,0.110151411,12.65,3.194980438,13.47666667,3.28588395,87.62333333,3.840681363,0.02598,2.34E-04,0.008796243,8.63E-05,0.007464408,1.48E-05,0.00022654,0.000241344,5.04E+02,32.94962314,30.92849885
OW,5,0.1,OW 0.1,OW5.01,16.425,5.49421969,0.39,0.014142136,4.965,2.821356057,5.355,2.807213921,95.245,3.061772363,0.033015,0.006399316,0.011426055,0.002406399,0.001367496,6.98E-06,8.89E-05,9.59E-05,1.96E+02,15.37985197,14.25975726
AW,5,1,AW 1,AW5.1,44.10666667,10.84887705,0.956666667,0.100166528,12.6,1.099954545,13.56,1.137673064,22.19666667,0.080208063,0.029936667,8.03E-04,0.010263033,2.99E-04,0.003672189,1.71E-05,0.000225645,0.000242837,2.14E+02,16.27418902,15.12203405
AW,5,0.45,AW 0.45,AW5.45,82.1,4.046924758,0.773333333,0.110151411,10.38333333,0.396778696,11.16,0.405955663,21.95666667,0.372871738,0.030353333,0.001463022,0.010419049,5.46E-04,0.006835401,1.38E-05,0.000185948,0.000199857,4.94E+02,36.75974403,34.20145846
AW,5,0.1,AW 0.1,AW5.01,18.38,NA,0.49,NA,2.38,NA,2.86,NA,20.87,NA,0.0389,NA,0.013645794,NA,0.001530264,8.78E-06,4.26E-05,5.12E-05,1.74E+02,35.90331532,29.87758015
AW,1,Blank,AW Blank,AW1.DI,NA,NA,NA,NA,NA,NA,NA,NA,33.6,1.13137085,24.660665,34.84528172,16.19555028,22.89392895,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AW,2,Blank,AW Blank,AW3.DI,0.965,0.049497475,0.345,0.176776695,0.01,0.268700577,0.355,0.091923882,26.585,0.332340187,5.30218,7.449822488,3.038528422,4.280267029,8.03E-05,6.18E-06,1.79E-07,6.36E-06,13.00392515,448.6354175,12.6376174
AW,3,Blank,AW Blank,AW2.DI,1.155,0.74246212,0.24,0.056568542,0.07,0,0.31,0.056568542,18.58,0.042426407,16.25708,22.98509989,10.29482593,14.55738649,9.62E-05,4.30E-06,1.25E-06,5.55E-06,22.37365748,76.70968279,17.32154128
AW,4,Blank,AW Blank,AW4.DI,1.485,1.138441918,0.025,0.021213203,0.045,0.007071068,0.07,0.014142136,16.955,0.021213203,13.69793,19.36351109,8.544339782,12.08105921,0.000123637,4.48E-07,8.06E-07,1.25E-06,276.154858,153.4193656,98.62673502
AW,5,Blank,AW Blank,AW5.DI,1.33,0.961665222,NA,NA,NA,NA,0.035,0.035355339,23.12,0.240416306,18.68925,26.19229584,11.95660545,16.81411953,0.000110732,#VALUE!,#VALUE!,6.27E-07,#VALUE!,#VALUE!,176.664724
OW,1,Blank,OW Blank,OW1.DI,0.825,0.233345238,NA,NA,NA,NA,NA,NA,102.15,0.212132034,24.6161,34.28605218,16.11446193,22.56414827,6.87E-05,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OW,2,Blank,OW Blank,OW2.DI,0.69,0.268700577,0.24,0.028284271,0.08,0.042426407,0.32,0.014142136,101.75,1.343502884,24.77572,35.0078385,16.27776025,23.01013509,5.74E-05,4.30E-06,1.43E-06,5.73E-06,13.36608109,40.09824328,10.02456082
OW,3.00E+00,Blank,OW Blank,OW3.DI,0.765,0.445477272,0.07,0.014142136,0.015,0.049497475,0.09,0.056568542,94.465,4.603265146,20.251045,28.63634678,13.07436625,18.48914398,6.37E-05,1.25E-06,2.69E-07,1.61E-06,50.80771198,237.1026559,39.51710932
OW,4.00E+00,Blank,OW Blank,OW4.DI,0.595,0.360624458,0.02,0.014142136,0.06,0.014142136,0.08,0,88.985,8.959042918,21.9312,31.01200637,14.25850345,20.16363665,4.95E-05,3.58E-07,1.07E-06,1.43E-06,138.3098826,46.1032942,34.57747065
OW,5,Blank,OW Blank,OW5.DI,0.725,0.487903679,NA,NA,NA,NA,NA,NA,96.07,7.113494219,20.93221,29.59636445,13.55299795,19.16502194,6.04E-05,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OW,1,Blank,OW Blank,OW1.ASW,0.825,0.233345238,NA,NA,NA,NA,NA,NA,102.15,0.212132034,24.6161,34.28605218,16.11446193,22.56414827,6.87E-05,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AW,1,Blank,AW Blank,AW1.ASW,NA,NA,NA,NA,NA,NA,NA,NA,33.6,1.13137085,24.660665,34.84528172,16.19555028,22.89392895,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
OW,2,Blank,OW Blank,OW2.ASW,0.69,0.268700577,0.24,0.028284271,0.08,0.042426407,0.32,0.014142136,101.75,1.343502884,24.77572,35.0078385,16.27776025,23.01013509,5.74E-05,4.30E-06,1.43E-06,5.73E-06,13.36608109,40.09824328,10.02456082
AW,2,Blank,AW Blank,AW2.ASW,0.965,0.049497475,0.345,0.176776695,0.01,0.268700577,0.355,0.091923882,26.585,0.332340187,5.30218,7.449822488,3.038528422,4.280267029,8.03E-05,6.18E-06,1.79E-07,6.36E-06,13.00392515,448.6354175,12.6376174
OW,3,Blank,OW Blank,OW3.ASW,0.765,0.445477272,0.07,0.014142136,0.015,0.049497475,0.09,0.056568542,94.465,4.603265146,20.251045,28.63634678,13.07436625,18.48914398,6.37E-05,1.25E-06,2.69E-07,1.61E-06,50.80771198,237.1026559,39.51710932
AW,3,Blank,AW Blank,AW3.ASW,1.155,0.74246212,0.24,0.056568542,0.07,0,0.31,0.056568542,18.58,0.042426407,16.25708,22.98509989,10.29482593,14.55738649,9.62E-05,4.30E-06,1.25E-06,5.55E-06,22.37365748,76.70968279,17.32154128
OW,4,Blank,OW Blank,OW4.ASW,0.595,0.360624458,0.02,0.014142136,0.06,0.014142136,0.08,0,88.985,8.959042918,21.9312,31.01200637,14.25850345,20.16363665,4.95E-05,3.58E-07,1.07E-06,1.43E-06,138.3098826,46.1032942,34.57747065
AW,4,Blank,AW Blank,AW4.ASW,1.485,1.138441918,0.025,0.021213203,0.045,0.007071068,0.07,0.014142136,16.955,0.021213203,13.69793,19.36351109,8.544339782,12.08105921,0.000123637,4.48E-07,8.06E-07,1.25E-06,276.154858,153.4193656,98.62673502
OW,5,Blank,OW Blank,OW5.ASW,0.725,0.487903679,NA,NA,NA,NA,NA,NA,96.07,7.113494219,20.93221,29.59636445,13.55299795,19.16502194,6.04E-05,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
AW,5,Blank,AW Blank,AW5.ASW,1.33,0.961665222,NA,NA,NA,NA,0.035,0.035355339,23.12,0.240416306,18.68925,26.19229584,11.95660545,16.81411953,0.000110732,#VALUE!,#VALUE!,6.27E-07,#VALUE!,#VALUE!,176.664724
